feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,target
52,7,287927,2,9,2,2,3,1,2,15024,0,40,1,1
49,7,246739,6,10,2,7,2,1,1,0,0,45,1,1
51,5,117496,4,14,2,4,3,1,2,0,0,40,1,1
64,1,216160,10,16,2,4,2,1,1,0,0,50,17,1
53,4,177647,2,9,2,11,2,1,1,0,0,40,27,1
47,3,201699,7,12,2,6,2,1,1,5178,0,50,1,1
29,3,197932,2,9,2,3,3,1,2,0,0,40,6,1
37,3,249208,8,11,2,4,2,1,1,0,0,48,1,1
47,3,187440,2,9,2,7,2,1,1,5178,0,40,1,1
46,7,276934,1,13,2,6,2,1,1,0,0,70,1,1
29,2,190636,6,10,2,7,2,4,1,0,1485,60,1,1
63,4,101996,4,14,3,4,1,1,1,0,0,40,1,1
29,5,302422,8,11,1,13,1,1,1,0,1564,56,1,1
45,3,194698,6,10,2,7,2,1,1,0,0,40,1,1
53,3,145409,2,9,2,10,2,1,1,0,0,40,1,1
32,3,191856,4,14,2,6,3,1,2,0,0,45,1,1
61,2,96073,11,15,2,4,2,1,1,0,0,50,10,1
44,3,68729,6,10,2,6,2,3,1,0,1902,40,1,1
61,3,119986,4,14,2,4,2,1,1,0,0,40,5,1
37,3,227545,6,10,2,6,2,1,1,0,0,44,1,1
33,3,181091,1,13,2,1,2,1,1,0,0,60,13,1
63,3,28334,4,14,3,2,1,1,2,0,0,40,1,1
25,3,57635,8,11,2,6,3,1,2,0,0,42,1,1
37,5,251396,7,12,2,4,2,1,1,0,0,45,11,1
44,3,54310,4,14,2,4,2,1,1,7298,0,40,1,1
49,4,105586,8,11,2,7,2,3,1,0,0,40,1,1
43,3,200355,2,9,2,8,2,1,1,0,0,70,1,1
45,7,155664,12,3,2,7,2,1,1,0,0,40,5,1
36,3,111128,1,13,2,4,2,1,1,0,0,48,1,1
49,3,28334,6,10,2,2,2,1,1,0,0,45,1,1
52,3,84278,6,10,2,2,2,1,1,7688,0,55,5,1
36,3,188069,6,10,2,2,2,1,1,0,0,50,1,1
29,4,244473,1,13,2,2,2,1,1,7688,0,40,1,1
40,3,209547,1,13,2,4,2,1,1,0,0,60,1,1
29,2,160786,13,6,2,7,2,1,1,0,0,35,1,1
41,3,175674,6,10,2,6,2,1,1,0,0,40,1,1
44,5,83286,4,14,2,4,3,1,2,0,0,40,1,1
45,3,188950,4,14,2,2,2,1,1,0,0,50,1,1
40,3,192344,1,13,2,1,2,1,1,0,0,40,1,1
40,2,123306,11,15,2,4,2,1,1,0,0,45,1,1
34,3,347166,10,16,1,4,1,1,1,0,0,50,1,1
36,3,32776,1,13,2,2,2,1,1,0,1977,40,1,1
47,5,285060,4,14,2,2,2,1,1,0,1977,41,1,1
40,3,146908,2,9,2,4,2,1,1,0,1902,40,1,1
32,3,130057,2,9,2,6,2,1,1,0,0,55,1,1
33,3,345277,1,13,1,11,1,1,2,0,0,45,1,1
49,3,189498,2,9,2,6,2,1,1,0,0,50,1,1
43,4,325706,11,15,2,4,2,3,1,0,0,50,4,1
37,2,301568,2,9,2,4,3,1,2,0,0,35,1,1
40,3,199900,7,12,2,2,2,1,1,0,1848,55,1,1
63,3,213945,1,13,2,6,2,1,1,15024,0,40,13,1
48,3,171807,1,13,3,5,5,1,2,0,0,56,1,1
40,5,150755,1,13,2,4,2,1,1,99999,0,75,1,1
48,2,362883,2,9,3,7,1,1,1,0,0,60,1,1
55,7,209569,2,9,3,6,5,1,2,0,0,50,1,1
40,3,294708,2,9,2,8,2,2,1,0,0,40,1,1
57,3,342906,5,5,2,6,2,2,1,0,0,55,1,1
47,3,332727,1,13,2,4,2,1,1,0,0,60,1,1
40,3,273425,1,13,2,2,2,1,1,0,0,50,1,1
