Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610291,2081781167,1738887470,1197191424,549812187,28715,1901410973,763922518,988855999,958027126,913357755,7331506,3147289,834222388,998723889,0
28734,638018,2005247957,1827344194,1097356461,411785251,29172,1912727505,783968133,984985603,887033637,953860842,6978659,3563624,909850506,998430331,0
29380,624110,2128261299,1759311425,1209712656,562727317,29690,1934109041,778113248,989558774,947849473,908774239,7243912,3047733,825870617,999066137,0
30008,645884,2105579990,1825165157,1153638059,498615976,30724,1954670618,782681273,976695743,903936374,928328835,7016729,3214562,861794425,994198849,0
30140,620134,2018478821,1902792787,1060798020,333679658,30417,1958965030,773098035,990893250,984877069,970515523,6697010,3664972,941900381,999166059,0
30279,634927,2125605564,1815101816,1171066849,520400659,30600,1963477021,775688485,989509804,943851783,923725952,7020065,3152779,853269634,999235781,0
30477,670033,2110501553,1840390501,1146768336,489477894,30970,1969886332,762401501,984081369,853079869,933373552,6924899,3242016,871186188,999048736,0
30519,629727,2129967551,1827372038,1165590535,513759557,30847,1971243203,770681818,989366875,967109244,925480392,6979152,3158285,856513956,998344560,0
30685,635681,2135341452,1831571463,1165852108,514080860,31044,1976596960,771561479,988435769,954239808,925658498,6958910,3151550,856843654,998952981,0
30834,631934,2172278128,1808974686,1200833900,553642225,31120,1981390121,783682806,990809769,970278230,912125430,7045074,3008040,831972800,999061142,0
30917,640765,2135600894,1844398709,1157884618,504102365,31280,1984055115,770805285,988395141,946258180,929038343,6907529,3174220,863112242,999384389,0
31091,638558,2104862549,1883268476,1117664622,446621924,31458,1989630385,786377317,988333651,958172836,945254305,6770006,3333984,893505700,998639711,0
31107,640594,2146485485,1849692526,1160455295,507365874,31423,1990142269,761046142,989943672,952581757,927163162,6900329,3145388,859631529,997563959,0
31158,642626,2164848362,1836443122,1178826797,529514251,31492,1991773023,798759229,989394132,948119004,920051980,6947970,3071052,846495646,997871751,0
31158,641105,2120669751,1871929601,1132879009,469924157,31474,1991773023,781313473,989959967,952623101,939218858,6806181,3267010,882132064,999348898,0
31178,636888,2129759252,1865620882,1141582018,482352224,31520,1992412169,764110482,989149746,965899596,935510513,6830968,3227429,875179919,999089658,0
31202,644454,2156406947,1844716842,1168963657,517871223,31573,1993178875,779192888,988249454,944079243,924305534,6911118,3111647,854340720,998693253,0
31203,639782,2150677370,1848748759,1163315112,510946829,31558,1993210815,762984155,988750871,957948542,926782809,6892534,3136682,858926376,999202033,0
31272,638666,2124503189,1875359390,1132851229,469883494,31593,1995413417,770322199,989839521,963425036,939237666,6793627,3261246,882167393,999364415,0
31335,635011,2167900923,1841634403,1177161395,527586710,31599,1997422367,774277242,991645305,976510834,921362386,6918465,3075469,848908647,999302487,0
31374,636401,2198653940,1820088637,1207992784,560994520,31604,1998664991,769196823,992722440,973459862,909040279,7007885,2951884,826354229,998229946,0
31530,638857,2137856543,1880664823,1136755746,475535642,31791,2003627781,768949371,991790129,970792739,937213391,6780389,3226921,878368941,998490940,0
31573,674103,2173070261,1854482507,1171793345,521268390,32197,2004993570,756964757,980619312,873118507,922654737,6882685,3076767,851291764,997538024,0
31637,656711,2297192546,1755104460,1308863717,645190802,32045,2007024650,761823348,987267905,921842182,873685862,7261095,2609775,763326986,999090996,0
31675,657431,2367526321,1712105592,1382815600,690678219,32009,2008229633,740935673,989565435,920928960,848239622,7474432,2386889,719510457,994950284,0
31682,646721,2100456816,1922484159,1092574316,402841974,32026,2008451524,773184303,989258727,951893863,956197485,6629811,3418781,914313630,998955589,0
31703,656305,2157089067,1872724497,1151845384,496263281,32093,2009117052,777110501,987847817,924908560,931401991,6804053,3158611,867509669,999237008,0
31748,641826,2197765183,1841151053,1193690859,546072628,32020,2010542441,775589974,991505309,968482156,914812218,6922531,2990698,836881394,998977670,0
31768,650954,2209594949,1832920681,1205504947,558465259,32173,2011175623,777674419,987411805,942104630,910201041,6955411,2944773,828465935,998719784,0
31811,642092,2239846829,1809171227,1238051321,589564969,32052,2012536289,773877293,992480968,969600136,898515141,7041108,2830886,807329459,999515303,0
31821,649681,2137356452,1899692019,1125106823,458286561,32168,2012852592,772354369,989212882,947378132,941748668,6716811,3258989,886890554,997846613,0
31823,662532,2228726889,1818946963,1225284154,577858150,32274,2012915846,774847821,986025903,911039620,903168466,7003510,2874555,815713278,999480554,0
31837,656404,2249125542,1804394219,1246471264,596968354,32238,2013358572,785245659,987561263,928537748,895173940,7064502,2798279,801336382,998842773,0
31915,640718,2163203615,1880653069,1150240653,494138341,32184,2015823407,777655945,991641810,976946683,931869470,6778015,3152845,868380709,998846794,0
31972,639974,2136874805,1906449473,1120866215,451705439,32246,2017622728,772270531,991502822,980968377,944193232,6683582,3276669,891500859,999253193,0
31992,640338,2128873637,1914872537,1111757361,436968432,32258,2018253689,774212284,991753984,980466376,948038274,6654394,3315826,898776569,999221466,0
31994,654535,2121713961,1924225318,1102632806,421302377,32391,2018316774,789741311,987743509,938453277,951267141,6631600,3349716,904909174,997782541,0
32015,653676,2129299893,1918101346,1110108127,434206940,32375,2018979050,761880964,988880309,941538949,948189147,6650945,3316218,899062659,998056765,0
32026,654237,2309790674,1769318083,1305469433,642831065,32349,2019325869,779448988,990015147,940247873,874246265,7212236,2598872,764306531,997778814,0
32038,645085,2244823211,1819408668,1233820224,585751300,32308,2019704150,770514671,991642937,967478615,899716352,7006752,2832168,809489514,998764533,0
